tipo,step,semaforo_id,queue_length,veh_id,delay,waiting_time,stops,pos_x,pos_y,speed
semaforo,6,308512659,0.0,,,,,,,
semaforo,6,308512668,0.0,,,,,,,
semaforo,6,308512669,0.0,,,,,,,
semaforo,6,308512670,0.0,,,,,,,
semaforo,6,308512701,0.0,,,,,,,
semaforo,6,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,6,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,7,joinedS_308495840_308495841,,truck1,0.3147355008726107,0.0,0.0,1987.2998076308763,312.52307243676086,10.517601201717278
vehiculo,7,308495742,,veh1,2.418345988881466,0.0,0.0,2143.325769982894,1268.2350188002645,6.315476534354247
vehiculo,7,308512659,,veh2,2.1529549517821227,0.0,1.0,145.02015390507643,453.16482998952307,5.494781498727389
vehiculo,7,joinedS_308495840_308495841,,veh3,0.35085031773390796,0.0,0.0,1873.4595688686354,38.20593988120432,8.665939881204318
vehiculo,7,joinedS_308495840_308495841,,veh4,0.0,0.0,1.0,2055.49,263.27,0.0
semaforo,7,308495742,0.0,,,,,,,
semaforo,7,308512653,0.0,,,,,,,
semaforo,7,308512659,0.0,,,,,,,
semaforo,7,308512668,0.0,,,,,,,
semaforo,7,308512669,0.0,,,,,,,
semaforo,7,308512670,0.0,,,,,,,
semaforo,7,308512701,0.0,,,,,,,
semaforo,7,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,7,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,8,joinedS_308495840_308495841,,truck1,0.8747700840063892,0.0,0.0,1985.714225984612,318.86383840996166,6.5358424552707
vehiculo,8,308495742,,veh1,2.8778578818121874,0.0,0.0,2135.8600148549945,1266.2726349504899,7.719087917755106
vehiculo,8,308512659,,veh2,2.540971076284574,0.0,1.0,152.81130665843943,452.5928117476358,7.811919092177414
vehiculo,8,joinedS_308495840_308495841,,veh3,0.26317095968473936,0.0,0.0,1873.1109062740638,42.90823961912277,4.7215765717846025
vehiculo,8,joinedS_308495840_308495841,,veh4,0.7114227941401818,0.0,1.0,2055.8441236105596,261.28526069430694,2.0130173375597225
semaforo,8,308495742,0.0,,,,,,,
semaforo,8,308512653,0.0,,,,,,,
semaforo,8,308512659,0.0,,,,,,,
semaforo,8,308512668,0.0,,,,,,,
semaforo,8,308512669,0.0,,,,,,,
semaforo,8,308512670,0.0,,,,,,,
semaforo,8,308512701,0.0,,,,,,,
semaforo,8,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,8,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,9,joinedS_308495840_308495841,,truck1,0.0,0.0,0.0,1983.085541859136,325.90099798173367,7.58551418710174
vehiculo,9,308512670,,truck2,0.0,0.0,1.0,1460.5196530092137,696.8436581062537,0.0
vehiculo,9,308495742,,veh1,3.214991743673374,0.0,0.0,2126.703853590401,1263.865925557568,9.466853999324822
vehiculo,9,308512659,,veh2,2.8072920891987634,0.0,1.0,162.15175710032548,451.9070456987161,9.365346239041537
vehiculo,9,joinedS_308495840_308495841,,veh3,0.40628668511618926,0.0,0.0,1869.3563528082711,47.99365459035907,6.604882839828418
vehiculo,9,joinedS_308495840_308495841,,veh4,1.0930253781873223,0.0,1.0,2054.3897682312877,257.3937477912693,4.313731973757967
vehiculo,9,308495742,,veh5,0.0,0.0,1.0,1495.91,1194.64,0.0
semaforo,9,308495742,0.0,,,,,,,
semaforo,9,308512653,0.0,,,,,,,
semaforo,9,308512659,0.0,,,,,,,
semaforo,9,308512668,0.0,,,,,,,
semaforo,9,308512669,0.0,,,,,,,
semaforo,9,308512670,0.0,,,,,,,
semaforo,9,308512701,0.0,,,,,,,
semaforo,9,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,9,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,10,joinedS_308495840_308495841,,truck1,0.0,0.0,0.0,1975.7712665109946,328.36615912574035,8.229535100190693
vehiculo,10,308512670,,truck2,0.9087982740606222,0.0,1.0,1461.7876651855468,696.7275786374094,1.273379291559104
vehiculo,10,308495742,,veh1,3.436871530962925,0.0,0.0,2115.9556893067033,1261.0407560142714,11.112877885626377
vehiculo,10,308512659,,veh2,2.958045731561846,0.0,1.0,172.963136835489,451.1116194936675,10.840553323063068
vehiculo,10,joinedS_308495840_308495841,,veh3,2.022360412398317,0.0,0.0,1863.1370424184645,49.26934400741812,6.408454379357515
vehiculo,10,joinedS_308495840_308495841,,veh4,2.1612317270608408,0.0,1.0,2049.2430589376713,254.74599306946448,5.821217978792265
