semaforo_id,delay,waiting_time,stops,flujo_vehicular,flujo_por_segundo,queue_length
1462970251,50.351452744757175,1.0798240100565681,1.9937146448774357,1591,1.98875,0.21
308689405,87.49226325667085,1.7290566037735848,2.986415094339623,1325,1.65625,0.43375
308757397,66.30412356890757,3.2739938080495357,2.1222910216718267,1292,1.615,0.495
308827770,43.054059186422066,0.5924380063835011,1.6469432850478762,4073,5.09125,0.5675
308856103,73.59590955761301,1.7066373303997067,2.4704803813714706,2727,3.40875,0.99
308856146,58.93705027742265,4.023668639053255,2.2550295857988165,1690,2.1125,1.0075
308898675,67.69221616932266,4.144140290846877,2.457228400342173,2338,2.9225,1.48625
308923801,40.233364741309906,0.8328373015873016,1.4964037698412698,8064,10.08,0.945
4088546946,46.86305848928571,1.6544502617801047,1.8064632605163387,5539,6.92375,0.6625
4097839613,96.44550320597531,3.7109004739336493,3.109004739336493,1266,1.5825,1.2275
4697738917,54.67728171293056,4.313403125921557,1.974270126806252,13564,16.955,3.825
4697750732,52.54925303154077,1.249154148057924,2.0339694139937747,7389,9.23625,2.1175
cluster_1462970241_308898721,34.21908543028556,0.16368584758942456,1.8254276827371696,2572,3.215,0.2825
cluster_1462970269_1462970271_308797939,65.19361584181745,1.375893566322478,2.311755361397935,5036,6.295,2.09375
cluster_1462970291_308954059,31.138525320947966,0.6405641449309571,1.2511507140328102,16946,21.1825,2.19375
cluster_308742453_308742454,63.89934232327041,2.8728473952128235,2.3084587891259614,9233,11.54125,5.39125
cluster_308757358_308757361,58.031634306516715,0.5226867446007529,2.17753120665742,5047,6.30875,1.635
cluster_308757386_308757389_308757392_308757394,63.20812965268678,1.7510121457489878,2.2859311740890687,3952,4.94,3.40125
cluster_308757402_4097570238,43.97463641477993,0.8488245931283906,1.6347197106690778,5530,6.9125,1.41625
cluster_308799313_4090658064,83.08964319730262,1.3240716003205983,2.776115415442159,3743,4.67875,1.5125
cluster_308804097_308804101,80.41057453590206,2.7757904245709124,2.792773261065944,5535,6.91875,3.7875
cluster_308834900_4738449064,30.82769231388937,0.13428386260531433,1.51950745301361,7715,9.64375,0.83625
cluster_308856152_9198534518,56.36815930907586,0.25539906103286386,2.015962441314554,1065,1.33125,0.09375
cluster_308858575_308858577_6427986507_6427986508,35.114164437237584,0.13819742489270387,1.5343347639484979,2330,2.9125,0.22875
cluster_308858579_308898722,31.40349648244839,0.8598808598808598,1.613053613053613,3861,4.82625,0.73375
cluster_4090658066_4090658067,83.08483840823507,1.0046483427647535,2.7340339531123687,4948,6.185,1.305
joinedS_1462970246_1462970247,31.353631995034597,0.306771417882529,1.6142910587355033,2673,3.34125,0.275
joinedS_1462970259_308819290,61.977537447679396,4.214986910994765,2.31282722513089,3056,3.82,1.0225
