semaforo_id,delay,waiting_time,stops,flujo_vehicular,flujo_por_segundo,queue_length,delay_norm,waiting_time_norm,stops_norm,flujo_vehicular_norm,flujo_por_segundo_norm,queue_length_norm,road_rage
cluster_1520634082_307862705,17.832756235985972,0.7898966704936854,1.087256027554535,871,1.08875,0.285,0.0,0.15218626134071275,0.28128421350691224,0.0,0.0,0.0,0.7725984239514939
cluster_307862891_307862894_307862896_307862898,26.30221219190686,0.408955223880597,1.0144540455616653,6365,7.95625,1.13875,0.4559277073877916,0.0026392937519665208,0.16289367665922252,1.0,1.0,0.9267299864314789,1.0
cluster_3701043284_4151921021,22.94147778438827,0.40223214285714287,0.9142857142857143,4480,5.6,0.93,0.2750126708690596,0.0,0.0,0.6568984346559884,0.6568984346559883,0.700135685210312,0.9622751828041023
cluster_4152158088_4152159489_9467311858,36.40906958277968,2.949535192563081,1.5292164674634794,1506,1.8825,1.20625,1.0,1.0,1.0,0.11558063341827449,0.11558063341827447,1.0,1.0
