step,delay,waiting_time,stops,queue_length,road_rage
0,0.0,0.0,0.0,0.0,0.0
1,0.0243156985146035,0.0,0.0,0.0,0.00097262794058414
2,0.0202264400277947,0.0,0.5,0.018867924528301886,0.021186416091677828
3,0.27573510004422686,0.0,0.5,0.0,0.03102940400176908
4,0.8518012911474241,0.0,0.5,0.0,0.054072051645896964
5,0.7519778516598713,0.0,0.6666666666666666,0.0,0.056745780733061524
6,1.1430713271504889,0.0,0.7142857142857143,0.0,0.07429428165744813
7,1.6195595664312816,0.0,0.5555555555555556,0.0,0.0870046048794735
8,2.1266635644830556,0.0,0.5555555555555556,0.0,0.10728876480154445
9,2.1416909612450965,0.0,0.45454545454545453,0.0,0.10384945663162205
10,2.550428376898867,0.0,0.45454545454545453,0.0,0.12019895325777286
11,2.638833683862432,0.0,0.4166666666666667,0.0,0.12222001402116395
12,2.741094948505961,0.07692307692307693,0.46153846153846156,0.018867924528301886,0.13002115643080447
13,2.7261376539232187,0.13333333333333333,0.5333333333333333,0.018867924528301886,0.13342286464749478
14,2.9515771655511087,0.1875,0.5625,0.05660377358490566,0.14544516209374245
15,3.2588899946403123,0.23529411764705882,0.5294117647058824,0.018867924528301886,0.15661531121735497
16,3.329751209133721,0.2777777777777778,0.5,0.018867924528301886,0.15912296241147042
17,3.5047288359586597,0.3,0.55,0.018867924528301886,0.16856651192891242
18,3.5854684389392304,0.35,0.55,0.018867924528301886,0.17279609604813528
19,3.414171616577639,0.0,0.5909090909090909,0.0,0.1602032282994692
20,3.8984027742884884,0.0,0.6086956521739131,0.0,0.18028393705849607
21,4.511069405692743,0.0,0.625,0.0,0.20544277622770976
22,4.761049438521395,0.0,0.625,0.0,0.2154419775408558
23,4.73119086681609,0.038461538461538464,0.6538461538461539,0.03773584905660377,0.21692542857685262
24,4.768697763339376,0.07692307692307693,0.6538461538461539,0.03773584905660377,0.21919493520701486
25,5.611194188671307,0.11538461538461539,0.6538461538461539,0.03773584905660377,0.2536640229895228
26,5.82911362026761,0.17857142857142858,0.6428571428571429,0.05660377358490566,0.2635823345681168
27,6.1561996947401125,0.25,0.6428571428571429,0.05660377358490566,0.2780943489755884
28,6.00958338151419,0.3,0.6666666666666666,0.05660377358490566,0.2741820773989324
29,6.529889429454221,0.36666666666666664,0.6666666666666666,0.05660377358490566,0.296327652649867
30,6.207768919598623,0.41935483870967744,0.6774193548387096,0.05660377358490566,0.284926703223385
31,6.729458396704148,0.46875,0.65625,0.05660377358490566,0.30593541133986407
32,6.535956764268305,0.5,0.6470588235294118,0.05660377358490566,0.2984526989836068
33,7.482701400374835,0.5588235294117647,0.6470588235294118,0.05660377358490566,0.3374989550161033
34,7.643401603965432,0.6,0.6285714285714286,0.05660377358490566,0.3440109967731726
35,6.738450455556999,0.2777777777777778,0.6111111111111112,0.018867924528301886,0.29991537671284596
36,7.358684507550806,0.2972972972972973,0.6216216216216216,0.018867924528301886,0.3255355496034091
37,8.142992470909013,0.34210526315789475,0.631578947368421,0.07547169811320754,0.3593343959565194
38,8.17059002820109,0.10256410256410256,0.6923076923076923,0.1320754716981132,0.35920870030559565
39,8.144427977949967,0.175,0.675,0.1320754716981132,0.35891862855196094
40,8.320048224638567,0.275,0.7,0.16981132075471697,0.3696981554006371
41,8.689045214369433,0.36585365853658536,0.7073170731707317,0.16981132075471697,0.3865677910874327
42,8.89871327128366,0.4523809523809524,0.6904761904761905,0.16981132075471697,0.39601142393310734
43,9.260934595255849,0.5476190476190477,0.6904761904761905,0.16981132075471697,0.41240503879675683
44,9.10533303821618,0.6136363636363636,0.6590909090909091,0.16981132075471697,0.4062459115801052
45,9.435306203619477,0.6888888888888889,0.6444444444444445,0.16981132075471697,0.42036403011542905
46,9.571745426526748,0.7608695652173914,0.6521739130434783,0.16981132075471697,0.4275703913022513
47,9.726888957156689,0.8478260869565217,0.6521739130434783,0.16981132075471697,0.4355152629622315
48,9.917940357994835,0.9148936170212766,0.6382978723404256,0.16981132075471697,0.44394362796893033
49,9.823831434265838,0.2553191489361702,0.6382978723404256,0.03773584905660377,0.424346272224106
50,9.859947145935733,0.2978723404255319,0.6595744680851063,0.07547169811320754,0.4282477453316083
51,9.142832558901366,0.061224489795918366,0.6530612244897959,0.07547169811320754,0.394569675093829
52,9.593215329125595,0.1,0.64,0.07547169811320754,0.412838047127288
53,9.773149918650637,0.15384615384615385,0.6538461538461539,0.09433962264150944,0.4220435584296249
54,10.275173375155775,0.1346153846153846,0.6538461538461539,0.05660377358490566,0.440985164324083
55,10.34897079681327,0.16666666666666666,0.6666666666666666,0.05660377358490566,0.4450909073442289
56,11.395915915596323,0.2037037037037037,0.6666666666666666,0.05660377358490566,0.48770945283629175
57,12.194818860605526,0.09090909090909091,0.6545454545454545,0.018867924528301886,0.5161701129147871
58,12.430191182044004,0.10909090909090909,0.6545454545454545,0.018867924528301886,0.5259486421359626
59,12.067329625740996,0.17543859649122806,0.7192982456140351,0.20754716981132076,0.5191248301802524
60,12.008710265977312,0.10344827586206896,0.7068965517241379,0.1320754716981132,0.5133347476592616
61,13.066379379321358,0.15517241379310345,0.7068965517241379,0.1320754716981132,0.5566759949516441
62,13.250829856732043,0.2033898305084746,0.711864406779661,0.1320754716981132,0.5652170765846
63,12.816818025672092,0.2459016393442623,0.7049180327868853,0.1320754716981132,0.5484289845592066
64,13.086580003387908,0.2903225806451613,0.6935483870967742,0.1320754716981132,0.5596530966662528
65,13.372655661434344,0.2222222222222222,0.6984126984126984,0.09433962264150944,0.5691739712911563
66,13.486653669647142,0.25,0.703125,0.09433962264150944,0.5744779392387158
67,13.669360128349549,0.2878787878787879,0.7121212121212122,0.16981132075471697,0.5844130557915004
68,14.022252527666256,0.3484848484848485,0.7272727272727273,0.20754716981132076,0.6011016505634826
69,13.958111692718427,0.4117647058823529,0.75,0.20754716981132076,0.6007107052226106
70,13.941053487595566,0.27941176470588236,0.75,0.1509433962264151,0.5962492427224686
71,13.618406792889838,0.3142857142857143,0.7285714285714285,0.1509433962264151,0.5831837110686933
72,13.857169038955618,0.38571428571428573,0.7571428571428571,0.2641509433962264,0.5975697804261492
73,14.465399477917815,0.4444444444444444,0.7361111111111112,0.2641509433962264,0.6222323313179704
74,14.660811477557553,0.5068493150684932,0.726027397260274,0.2641509433962264,0.6308935601620074
75,15.184593135696932,0.6027397260273972,0.7534246575342466,0.33962264150943394,0.6563679590799838
76,14.637428102348176,0.44,0.76,0.41509433962264153,0.6329990108863799
