step,delay,waiting_time,stops,queue_length,road_rage
0,0.0,0.0,0.5,0.0,0.020000000000000004
1,0.4181532080795475,0.0,0.5,0.0,0.03672612832318191
2,0.7583128624218808,0.0,0.5,0.0,0.05033251449687523
3,0.6627788809890948,0.0,0.6666666666666666,0.13636363636363635,0.05590509463350318
4,0.6428523327304096,0.0,0.8,0.0,0.05771409330921638
5,1.0124513385861509,0.0,0.6666666666666666,0.0,0.0671647202101127
6,1.4844532076952177,0.0,0.6666666666666666,0.0,0.08604479497447538
7,1.4679632970894856,0.0,0.625,0.0,0.08371853188357943
8,1.743168111425926,0.0,0.6666666666666666,0.0,0.09639339112370372
9,1.575805054985563,0.0,0.7,0.0,0.09103220219942251
10,1.984931432685208,0.0,0.7,0.0,0.10739725730740832
11,2.7276447693911963,0.0,0.6363636363636364,0.0,0.1345603362301933
12,2.8426413166361857,0.0,0.6666666666666666,0.09090909090909091,0.14219050115029594
13,2.7469741132776315,0.0,0.6923076923076923,0.0,0.13757127222341298
14,2.3889514865589363,0.0,0.6666666666666666,0.0,0.12222472612902413
15,3.0035979013873333,0.0,0.6875,0.0,0.14764391605549335
16,3.355447496436825,0.0,0.6875,0.0,0.16171789985747298
17,3.3938201617575148,0.0,0.7058823529411765,0.0,0.16398810058794766
18,3.37061910919006,0.0,0.6842105263157895,0.0,0.16219318542023398
19,3.8969290887139385,0.0,0.65,0.0,0.18187716354855754
20,4.070720061231266,0.0,0.6666666666666666,0.0,0.18949546911591733
21,4.251349307456817,0.0,0.6363636363636364,0.0,0.19550851775281813
22,4.060402781148351,0.043478260869565216,0.6956521739130435,0.045454545454545456,0.19202085432893803
23,4.332760262196904,0.08333333333333333,0.7083333333333334,0.045454545454545456,0.20421950139696707
24,4.430457719800759,0.12,0.72,0.045454545454545456,0.2093273997011213
25,4.494914336662636,0.15384615384615385,0.7307692307692307,0.045454545454545456,0.2130133566832887
26,4.820524168709597,0.18518518518518517,0.7037037037037037,0.045454545454545456,0.22558190950932666
27,5.23088152876199,0.2222222222222222,0.7037037037037037,0.045454545454545456,0.24273694465216314
28,5.2201498878027435,0.27586206896551724,0.7586206896551724,0.09090909090909091,0.24648624629580881
29,5.2722960648214885,0.3225806451612903,0.7419354838709677,0.13636363636363635,0.2497481475781968
30,4.954361004601337,0.375,0.71875,0.13636363636363635,0.2371517129113262
31,4.997274056236761,0.42424242424242425,0.696969696969697,0.13636363636363635,0.23898187134037954
32,4.908571490201965,0.36363636363636365,0.7272727272727273,0.09090909090909091,0.23452467778989677
33,5.809027472505588,0.4117647058823529,0.7058823529411765,0.09090909090909091,0.27064986895369947
34,6.198144431451103,0.08571428571428572,0.6857142857142857,0.045454545454545456,0.2779777253099922
35,6.493113619925309,0.10810810810810811,0.6756756756756757,0.045454545454545456,0.2898228248952925
36,6.834714986490477,0.16216216216216217,0.7027027027027027,0.09090909090909091,0.30655813262915227
37,6.974435447250088,0.21621621621621623,0.7027027027027027,0.09090909090909091,0.3132280321406178
38,7.186299126782425,0.07692307692307693,0.717948717948718,0.13636363636363635,0.32043564805498
39,7.348296172729104,0.1,0.725,0.045454545454545456,0.3258409378182551
40,7.507677837100786,0.12195121951219512,0.7317073170731707,0.045454545454545456,0.33292352146629306
41,7.568449064280393,0.023809523809523808,0.7619047619047619,0.0,0.33369034352359667
42,8.128904608288634,0.046511627906976744,0.7674418604651163,0.0,0.35678409130828953
43,8.137272117642722,0.0,0.7727272727272727,0.0,0.3563999756147998
44,7.9248140506233336,0.0,0.7777777777777778,0.0,0.34810367313604446
45,7.970651335436448,0.0,0.7659574468085106,0.0,0.3494643512897983
46,8.979643831882063,0.0,0.75,0.0,0.3891857532752825
47,8.751095389978325,0.0,0.7551020408163265,0.0,0.38024789723178604
48,9.30275482437046,0.0,0.7551020408163265,0.0,0.4023142746074715
49,9.784410615784253,0.0,0.7450980392156863,0.0,0.4211803461999976
50,9.404024725316178,0.0,0.7307692307692307,0.0,0.4053917582434164
51,10.099912365401613,0.018867924528301886,0.7547169811320755,0.0,0.4345625323519136
52,9.794800719663762,0.0,0.7592592592592593,0.0,0.4221623991569209
53,10.609517347020265,0.0,0.7592592592592593,0.0,0.454751064251181
54,11.311561827442544,0.01818181818181818,0.7818181818181819,0.045454545454545456,0.48500792764315637
55,11.267379761435217,0.08771929824561403,0.8421052631578947,0.2727272727272727,0.49158833240318217
56,11.938542836489855,0.19298245614035087,0.8771929824561403,0.4090909090909091,0.5246709000624651
57,11.264990915660999,0.15517241379310345,0.8793103448275862,0.13636363636363635,0.4916027714226782
58,12.423517897568905,0.2413793103448276,0.9137931034482759,0.2727272727272727,0.5437745717021294
59,12.688759924726785,0.31666666666666665,0.9,0.2727272727272727,0.5553382757769503
60,13.256498135610386,0.29508196721311475,0.9016393442622951,0.22727272727272727,0.576772593084624
61,13.498812133117752,0.36065573770491804,0.9016393442622951,0.22727272727272727,0.5877766283947548
62,13.208542880107217,0.4126984126984127,0.8888888888888888,0.4090909090909091,0.5803330571956308
