semaforo_id,delay,waiting_time,stops,flujo_vehicular,flujo_por_segundo,queue_length
308495742,30.543815866887876,8.679566563467493,1.2739938080495357,1292,6.46,5.76
308512653,18.413363619807555,0.6565420560747663,1.1016355140186915,856,4.28,0.51
308512659,23.252832713504763,1.0033003300330032,1.1584158415841583,1212,6.06,0.99
308512668,23.3976294147364,1.9503695881731784,1.4244984160506864,947,4.735,1.89
308512669,31.872145279790676,3.299057412167952,1.4541559554413024,1167,5.835,2.78
308512670,20.69146091942311,0.8699029126213592,1.0524271844660193,2575,12.875,1.51
308512701,21.087040708594525,5.046554934823091,1.0707635009310987,537,2.685,1.9
joinedS_308495714_4152158087,22.389099014907977,0.5708727070594775,1.2684824902723735,1799,8.995,1.77
joinedS_308495840_308495841,23.507202326371168,0.5824782951854776,1.3117600631412787,2534,12.67,2.845
