semaforo_id,delay,waiting_time,stops,flujo_vehicular,flujo_por_segundo,queue_length
308495742,25.444438360162096,7.427575522850503,1.1936483346243223,1291,6.455,6.125
308512653,23.25600923363352,0.5182403433476395,1.1888412017167382,932,4.66,0.755
308512659,23.354485109818814,1.9671592775041051,1.2372742200328408,1218,6.09,1.865
308512668,15.392533083495943,0.012755102040816327,1.0204081632653061,784,3.92,0.05
308512669,25.40412879701338,2.714828897338403,1.3536121673003803,1052,5.26,2.395
308512670,24.823279670484933,1.3557586837294333,1.1553930530164533,2735,13.675,3.46
308512701,17.015265221643823,3.0098814229249014,1.0395256916996047,506,2.53,1.42
joinedS_308495714_4152158087,21.913835867399197,0.6,1.192507204610951,1735,8.675,1.57
joinedS_308495840_308495841,27.54519542891309,0.9593367548361627,1.4366363995262534,2533,12.665,2.965
