tipo,step,semaforo_id,queue_length,veh_id,delay,waiting_time,stops,pos_x,pos_y,speed
semaforo,6,308512659,0.0,,,,,,,
semaforo,6,308512668,0.0,,,,,,,
semaforo,6,308512669,0.0,,,,,,,
semaforo,6,308512670,0.0,,,,,,,
semaforo,6,308512701,0.0,,,,,,,
semaforo,6,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,6,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,7,joinedS_308495840_308495841,,truck1,0.258854719765921,0.0,0.0,1987.4862361428445,311.77754188151823,10.374612226498087
vehiculo,7,308495742,,veh1,2.410056982239878,0.0,0.0,2144.4534079721016,1268.5314199734216,5.371718466693721
vehiculo,7,308512659,,veh2,2.4052738087166405,0.0,1.0,142.91188579955326,453.31961681675193,4.61667823898606
vehiculo,7,joinedS_308495840_308495841,,veh3,0.23746057048356306,0.0,0.0,1873.4601692144913,38.324733317460556,8.784733317460555
vehiculo,7,joinedS_308495840_308495841,,veh4,0.0,0.0,1.0,2055.49,263.27,0.0
semaforo,7,308495742,0.0,,,,,,,
semaforo,7,308512653,0.0,,,,,,,
semaforo,7,308512659,0.0,,,,,,,
semaforo,7,308512668,0.0,,,,,,,
semaforo,7,308512669,0.0,,,,,,,
semaforo,7,308512670,0.0,,,,,,,
semaforo,7,308512701,0.0,,,,,,,
semaforo,7,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,7,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,8,joinedS_308495840_308495841,,truck1,0.7871618368850921,0.0,0.0,1985.8913756470752,318.15541412001363,6.5740903113016484
vehiculo,8,308495742,,veh1,2.837991582529698,0.0,0.0,2136.8258380754814,1266.5265028924664,7.886393488959595
vehiculo,8,308512659,,veh2,2.9214598211214806,0.0,1.0,149.96942045854524,452.8014600438722,7.076345630944706
vehiculo,8,joinedS_308495840_308495841,,veh3,0.01614174384451772,0.0,0.0,1873.136757066768,42.71831542782603,4.411471224535411
vehiculo,8,joinedS_308495840_308495841,,veh4,0.7513194642771381,0.0,1.0,2055.8369872131375,261.3252577124154,1.972450452693738
semaforo,8,308495742,0.0,,,,,,,
semaforo,8,308512653,0.0,,,,,,,
semaforo,8,308512659,0.0,,,,,,,
semaforo,8,308512668,0.0,,,,,,,
semaforo,8,308512669,0.0,,,,,,,
semaforo,8,308512670,0.0,,,,,,,
semaforo,8,308512701,0.0,,,,,,,
semaforo,8,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,8,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,9,joinedS_308495840_308495841,,truck1,0.0,0.0,0.0,1983.5829415490439,325.25751498444,7.4874707832795195
vehiculo,9,308512670,,truck2,0.0,0.0,1.0,1460.5196530092137,696.8436581062537,0.0
vehiculo,9,308495742,,veh1,3.0904311351789095,0.0,0.0,2126.858324628582,1263.906528479227,10.30573750409968
vehiculo,9,308512659,,veh2,3.3434118130529367,0.0,1.0,158.40157404671038,452.1823801947775,8.4546284341719
vehiculo,9,joinedS_308495840_308495841,,veh3,0.2079921518348531,0.0,0.0,1870.5259615804564,47.18925962450824,5.375639758334786
vehiculo,9,joinedS_308495840_308495841,,veh4,1.2244126981415793,0.0,1.0,2054.496990252874,257.53245564459144,4.179247428313829
vehiculo,9,308495742,,veh5,0.0,0.0,1.0,1495.91,1194.64,0.0
semaforo,9,308495742,0.0,,,,,,,
semaforo,9,308512653,0.0,,,,,,,
semaforo,9,308512659,0.0,,,,,,,
semaforo,9,308512668,0.0,,,,,,,
semaforo,9,308512669,0.0,,,,,,,
semaforo,9,308512670,0.0,,,,,,,
semaforo,9,308512701,0.0,,,,,,,
semaforo,9,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,9,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,10,joinedS_308495840_308495841,,truck1,0.0,0.0,0.0,1976.910590435542,328.50930495215783,7.909250380333733
vehiculo,10,308512670,,truck2,0.9516955204525832,0.0,1.0,1461.1946559222265,696.7818653403218,0.6778599978890271
vehiculo,10,308495742,,veh1,3.161383397012699,0.0,0.0,2114.4709707285733,1260.6504957245527,12.807689535005203
vehiculo,10,308512659,,veh2,3.590889219252894,0.0,1.0,169.3788389121123,451.3764409521759,11.006523385760374
vehiculo,10,joinedS_308495840_308495841,,veh3,1.8573012188342517,0.0,0.0,1864.8472544965607,49.12624878944153,6.112829886452586
vehiculo,10,joinedS_308495840_308495841,,veh4,2.2160467781389137,0.0,1.0,2048.5396256653626,254.45262423485923,6.758431233349256
