semaforo_id,delay,waiting_time,stops,flujo_vehicular,flujo_por_segundo,queue_length,delay_norm,waiting_time_norm,stops_norm,flujo_vehicular_norm,flujo_por_segundo_norm,queue_length_norm,road_rage
cluster_1520634082_307862705,17.79265187183169,0.3652275379229872,1.0665110851808635,857,1.07125,0.19625,0.0,0.029699173113492773,0.18150047112905499,0.0,0.0,0.0,0.7616710690389619
cluster_307862891_307862894_307862896_307862898,25.091084949730533,0.2787937119024703,0.9919794674366378,6234,7.7925,0.985,0.3952378645037669,0.0,0.04962995329352369,1.0,1.0,0.6425661914460284,1.0
cluster_3701043284_4151921021,22.441839429233838,0.37545372050816694,0.963929219600726,4408,5.51,0.775,0.2517711599534348,0.03321294984733014,0.0,0.6604054305374745,0.6604054305374744,0.4714867617107943,0.943739820363546
cluster_4152158088_4152159489_9467311858,36.25857766834475,3.1891045710707577,1.5291170945522856,1597,1.99625,1.42375,1.0,1.0,1.0,0.13762320996838387,0.13762320996838387,1.0,1.0
