semaforo_id,delay,waiting_time,stops,flujo_vehicular,flujo_por_segundo,queue_length,delay_norm,waiting_time_norm,stops_norm,flujo_vehicular_norm,flujo_por_segundo_norm,queue_length_norm,road_rage
308856103,47.937661531982364,1.3579175704989155,2.527838033261027,1383,1.72875,0.20375,0.5731484065616377,0.3755589197149887,0.5932599256106986,0.008389652761594034,0.008389652761594035,0.019885323898987433,1.0
308856146,32.060666768082996,3.139068100358423,1.918279569892473,1395,1.74375,0.88375,0.33923166141157807,0.8706180662021501,0.34787646480011947,0.00932183640177115,0.009321836401771144,0.08625106746370624,1.0
308856152,59.27929413544972,3.421588019214467,2.3249505510031083,3539,4.42375,1.3825,0.740245380689461,0.9491426308303443,0.5115856719608208,0.17587198011341568,0.1758719801134157,0.1349274124679761,1.0
308898675,22.088137063738678,2.0365198711063375,1.9720730397422126,2793,3.49125,1.01625,0.1923057649153074,0.564171993181291,0.36953152923445176,0.11792123048240503,0.11792123048240503,0.09918262779065513,1.0
308903645,30.917738478900937,0.9177737881508079,1.4805505685218432,8355,10.44375,0.7125,0.32239282828723353,0.2532238326080769,0.17166456108885825,0.5499883477044978,0.5499883477044978,0.06953763572038552,1.0
308903696,9.035469027214315,0.04392156862745098,1.0541176470588236,1275,1.59375,0.025,0.0,0.010342320517536382,0.0,0.0,0.0,0.002439917042820544,0.40446189834347457
308903738,31.964008916268142,0.31801889866405997,1.7194525904203324,3069,3.83625,0.19,0.33780759530675464,0.08652588164138852,0.2678368045257465,0.13936145420647866,0.1393614542064787,0.018543369525436136,1.0
309520858,30.182544752280425,1.1145707094248158,1.6415586836953482,10727,13.40875,1.73,0.3115611736735504,0.30792225042506854,0.23647988380873172,0.7342499805795075,0.7342499805795075,0.16884225936318165,1.0
cluster_1462970241_308898721,18.60973608250635,0.24175824175824176,1.6639898562975486,2366,2.9575,0.34375,0.14105826827276224,0.06532973056631768,0.24550976214517506,0.08475102928610269,0.0847510292861027,0.03354885933878248,0.8157842023873207
cluster_1871526593_309440289,27.874591658611543,0.782262996941896,1.855045871559633,1635,2.04375,0.9,0.27755795809917905,0.21555949401847135,0.3224211480926508,0.027965509205313446,0.02796550920531346,0.0878370135415396,1.0
cluster_1871526625_309497170,21.155155103805047,0.006711409395973154,1.411764705882353,2533,3.16625,0.0,0.17856008403572268,0.0,0.1439741687087039,0.09772391827856755,0.09772391827856754,0.0,0.9028110205754155
cluster_308848908_308848911,45.50396467630269,0.917726887192536,1.941193101498445,14148,17.685,3.94625,0.5372926003698423,0.2532107967933144,0.35710052126517816,1.0,1.0,0.3851409052092229,1.0
cluster_308848959_308848960,57.829197407628925,0.9223351576752671,2.626009903570498,7674,9.5925,2.2575,0.7188810159737996,0.2544916354499678,0.6327799302344719,0.4970869261244465,0.4970869261244465,0.22032450896669512,1.0
cluster_308855797_308855800,45.82375034870209,0.6999249812453113,2.203488372093023,10664,13.33,1.925,0.5420040224459759,0.19267418079488158,0.4626899357686884,0.7293560164685776,0.7293560164685777,0.1878736122971819,1.0
cluster_308858575_308858577_6427986507_6427986508,26.50488354681597,0.4101106171818464,1.660394913677246,9673,12.09125,2.065,0.257377963831916,0.11212217280468922,0.24406258436880493,0.652373184183951,0.652373184183951,0.20153714773697695,1.0
cluster_308858579_308898722,22.57661791837902,1.168421052631579,1.5760097919216647,4085,5.10625,1.20375,0.19950258353777103,0.3228896013025285,0.21009256432695889,0.2182863357414744,0.21828633574147444,0.11748200561180921,0.989473529464659
cluster_308903754_312989481,33.19974229120555,0.8106206014075495,1.666346769033909,3126,3.9075,0.31625,0.35601373149544385,0.22344130480753155,0.24645855941210265,0.14378932649731999,0.14378932649731999,0.03086495059167988,1.0
cluster_309440717_309440722_309440724_309440726,28.64355630373566,0.8959304790165324,1.5943196269605766,4718,5.8975,1.79125,0.28888716174242113,0.24715262762276746,0.21746335967920466,0.26745902276081723,0.26745902276081723,0.17482005611809198,1.0
cluster_309481112_309481115,55.650367532566314,1.0925272138864373,2.238746690203001,6798,8.4975,2.09625,0.6867801807597442,0.30179540493734663,0.47688350150539366,0.4290375203915171,0.4290375203915172,0.20458704404050262,1.0
cluster_309481119_4121911213,72.61822651972535,3.6045654082528533,2.9622475856014048,5695,7.11875,4.52125,0.9367686959330421,1.0,0.768135554067038,0.3433543074652373,0.3433543074652374,0.44125899719409545,1.0
cluster_309481227_4121496204,76.91002308581383,2.381281257442248,3.5382233865206003,8398,10.4975,10.24625,1.0,0.6599961668263163,1.0,0.5533286724151324,0.5533286724151325,1.0,1.0
cluster_4121496202_4121496203,59.87361327442883,3.189522856189523,2.605105105105105,5994,7.4925,1.76125,0.7490015212965287,0.8846416357653204,0.6243645080834317,0.3665812164996504,0.3665812164996504,0.17189215566670732,1.0
