semaforo_id,delay,waiting_time,stops,flujo_vehicular,flujo_por_segundo,queue_length
1462970251,52.87367526814412,1.0454545454545454,2.164473684210526,1672,2.09,0.3325
308689405,85.50413368632877,0.37341772151898733,2.9104882459312837,1106,1.3825,0.10125
308757397,75.46675134721059,6.415974440894568,2.341214057507987,1565,1.95625,0.85625
308827770,44.06851408180021,2.4369786839666356,1.6281278962001853,4316,5.395,1.2175
308856103,54.56671655770967,1.9650569297212406,2.181389870435807,2547,3.18375,0.76375
308856146,47.37676741854011,0.6329196603527106,2.1423905943827566,1531,1.91375,0.4375
308898675,51.5337679180908,0.42695961995249404,2.219121140142518,1684,2.105,0.2475
308923801,34.680022367067274,0.23574965088231561,1.4401421861114638,7877,9.84625,0.48
4088546946,40.76715653756728,0.6149825783972126,1.6142082849399924,5166,6.4575,0.3975
4097839613,77.20078400434528,6.289256198347108,2.687721369539551,1694,2.1175,1.9675
4697738917,46.99350207410249,1.3003052553419685,1.8795478920881115,12121,15.15125,2.08375
4697750732,57.69848477497206,2.3069180787361447,2.179640718562874,7849,9.81125,2.1825
cluster_1462970241_308898721,32.975494949536404,0.2332703213610586,1.8998109640831757,2645,3.30625,0.29875
cluster_1462970269_1462970271_308797939,64.62767670588056,1.2307224025974026,2.4275568181818183,4928,6.16,2.07375
cluster_1462970291_308954059,29.764063394100457,0.6129969141404974,1.2650208749319296,16527,20.65875,2.1025
cluster_308742453_308742454,62.75722180050884,2.9985500780727192,2.2991300468436315,8966,11.2075,5.34125
cluster_308757358_308757361,56.508247166814506,0.6580556103332676,2.230723723131532,5071,6.33875,1.71125
cluster_308757386_308757389_308757392_308757394,58.906593397042805,1.2719424460431654,2.0141007194244605,3475,4.34375,2.53125
cluster_308757402_4097570238,47.36912058018801,1.0,1.7803762074224707,5901,7.37625,1.5075
cluster_308799313_4090658064,71.62392410191512,1.171341925701289,2.5253980288097044,3957,4.94625,1.5575
cluster_308804097_308804101,72.84706491343587,1.4508164852255054,2.5659020217729394,5144,6.43,2.3375
cluster_308834900_4738449064,31.559527086304183,0.07137053087757313,1.5956121343445286,7384,9.23,0.43875
cluster_308856152_9198534518,55.50502140709148,0.6209677419354839,2.065412186379928,1116,1.395,0.17
cluster_308858575_308858577_6427986507_6427986508,36.9804280785495,0.1777310924369748,1.7478991596638656,2380,2.975,0.21
cluster_308858579_308898722,27.94291196430682,0.6841566419247505,1.6557460967494242,3907,4.88375,0.82375
cluster_4090658066_4090658067,79.55098182553071,1.3567035670356704,2.756457564575646,5691,7.11375,2.26375
joinedS_1462970246_1462970247,32.66589237467213,0.3467468973298232,1.720947724708537,2659,3.32375,0.3775
joinedS_1462970259_308819290,55.19836418913308,4.235064011379801,2.1458036984352775,2812,3.515,1.18625
