semaforo_id,delay,waiting_time,stops,flujo_vehicular,flujo_por_segundo,queue_length
308856103,9.294297345882025,0.35609756097560974,0.8536585365853658,205,1.025,0.09
308856146,32.633778645255994,0.23255813953488372,1.9023255813953488,215,1.075,0.13
308856152,30.579344163953277,0.7655986509274874,1.7251264755480606,593,2.965,0.42
308898675,7.041612245327939,0.6455696202531646,0.9367088607594937,237,1.185,0.17
308903645,21.897488773763445,0.4766619519094767,1.0756718528995757,1414,7.07,0.39
308903696,5.305423783879188,0.0,0.8762886597938144,194,0.97,0.0
308903738,21.73108841021661,0.20140515222482436,1.4309133489461359,427,2.135,0.09
309520858,17.51236748894766,0.3971119133574007,1.0117328519855595,1108,5.54,0.365
cluster_1462970241_308898721,10.003847153829078,0.05089058524173028,0.7608142493638677,393,1.965,0.04
cluster_1871526593_309440289,25.017792864680054,0.4426229508196721,1.6612021857923498,183,0.915,0.315
cluster_1871526625_309497170,13.968892332935615,0.0025252525252525255,1.0656565656565657,396,1.98,0.0
cluster_308848908_308848911,31.768525884181358,0.9473918858671422,1.4208649130628623,2243,11.215,2.145
cluster_308848959_308848960,36.37855820037024,0.9065743944636678,1.6176470588235294,1156,5.78,1.055
cluster_308855797_308855800,30.62803661623768,0.5086155674390969,1.7611408199643495,1683,8.415,1.345
cluster_308858575_308858577_6427986507_6427986508,17.948541926768726,0.4292237442922374,1.2404870624048707,1314,6.57,1.29
cluster_308858579_308898722,11.1544905579378,1.801040312093628,1.1690507152145644,769,3.845,1.075
cluster_308903754_312989481,20.416726888280746,1.0532859680284192,1.1687388987566607,563,2.815,0.35
cluster_309440717_309440722_309440724_309440726,21.83704382950689,0.5746164574616457,1.3249651324965133,717,3.585,0.865
cluster_309481112_309481115,30.416745873364146,1.0263157894736843,1.5515350877192982,912,4.56,1.24
cluster_309481119_4121911213,16.880397402030106,3.227956989247312,0.7333333333333333,465,2.325,0.615
cluster_309481227_4121496204,32.29309497117943,1.601194921583271,1.6564600448095594,1339,6.695,3.345
cluster_4121496202_4121496203,29.920540129458107,0.5547785547785548,1.5710955710955712,429,2.145,0.335
