step,delay,waiting_time,stops,queue_length,road_rage
0,0.0,0.0,0.5,0.0,0.020000000000000004
1,0.47546674731895444,0.0,0.5,0.0,0.03901866989275818
2,0.6572650095161375,0.0,0.6666666666666666,0.0,0.05295726704731217
3,1.009031169289279,0.0,0.75,0.0,0.07036124677157116
4,1.229800086606673,0.0,0.8,0.0,0.08119200346426692
5,1.3117694366032786,0.0,0.5714285714285714,0.0,0.075327920321274
6,1.6758740048823935,0.0,0.5714285714285714,0.0,0.0898921030524386
7,1.8489682862616332,0.0,0.5,0.0,0.09395873145046534
8,1.8570509761688214,0.0,0.5555555555555556,0.0,0.09650426126897509
9,2.0040956941464505,0.0,0.6,0.0,0.10416382776585803
10,1.7222164655459897,0.0,0.6666666666666666,0.0,0.09555532528850627
11,2.5166144273448086,0.0,0.6666666666666666,0.0,0.127331243760459
12,2.5919820978089074,0.0,0.6153846153846154,0.0,0.12829466852774093
13,2.510348309703389,0.0,0.5333333333333333,0.0,0.12174726572146889
14,3.2994156170652227,0.0,0.5333333333333333,0.0,0.15330995801594227
15,3.272418786797096,0.0,0.5882352941176471,0.0,0.15442616323658973
16,3.641812506947206,0.0,0.5882352941176471,0.0,0.1692019120425941
17,3.474543481913219,0.0,0.631578947368421,0.0,0.1642448971712656
18,3.317795762714894,0.0,0.65,0.0,0.15871183050859577
19,3.93509182252511,0.0,0.65,0.0,0.18340367290100443
20,4.0409747913845795,0.0,0.6818181818181818,0.0,0.18891171892811048
21,4.272754667751843,0.0,0.6818181818181818,0.0,0.19818291398280102
22,4.106306866805897,0.0,0.6666666666666666,0.0,0.19091894133890258
23,5.1102026956248245,0.0,0.64,0.0,0.230008107824993
24,5.939683563391973,0.04,0.68,0.03571428571428571,0.2663016282499647
25,6.002313219629209,0.07692307692307693,0.6538461538461539,0.03571428571428571,0.2684991221917618
26,6.0123722946638045,0.14814814814814814,0.7037037037037037,0.17857142857142858,0.27517743146909185
27,6.1061875802281955,0.21428571428571427,0.7142857142857143,0.03571428571428571,0.2778189317805564
28,5.45324418233557,0.27586206896551724,0.7241379310344828,0.03571428571428571,0.2533268116283982
29,6.790341591170612,0.41379310344827586,0.7931034482758621,0.07142857142857142,0.3130422350753959
30,6.821654903778574,0.5161290322580645,0.8064516129032258,0.07142857142857142,0.3168754127410048
31,7.433567099727928,0.625,0.78125,0.07142857142857142,0.3425212554176886
32,6.74759377982788,0.6060606060606061,0.7878787878787878,0.07142857142857142,0.3149686862580503
33,7.36231569147035,0.6764705882352942,0.7941176470588235,0.07142857142857142,0.3412153167344443
34,7.034813560561833,0.4722222222222222,0.8055555555555556,0.07142857142857142,0.32448778051771143
35,7.71764403953641,0.19444444444444445,0.8055555555555556,0.03571428571428571,0.3455311584068532
36,7.742418592317211,0.21621621621621623,0.8108108108108109,0.03571428571428571,0.34716778616373095
