tipo,step,veh_id,semaforo_id,delay,waiting_time,stops,pos_x,pos_y,speed,queue_length
vehiculo,0,truck0,cluster_307862891_307862894_307862896_307862898,0.0,0.0,0.0,74.71874195854183,792.8614152966405,14.389750000000001,
vehiculo,0,veh0,cluster_307862891_307862894_307862896_307862898,0.0,0.0,1.0,133.54077093167143,677.4018280667501,0.0,
semaforo,0,,cluster_1520634082_307862705,,,,,,,0.0
semaforo,0,,cluster_307862891_307862894_307862896_307862898,,,,,,,0.0
semaforo,0,,cluster_3701043284_4151921021,,,,,,,0.0
semaforo,0,,cluster_4152158088_4152159489_9467311858,,,,,,,0.0
vehiculo,1,truck0,cluster_307862891_307862894_307862896_307862898,0.439878982995193,0.0,0.0,63.903081928170025,782.0224752256734,15.315867311310955,
vehiculo,1,veh0,cluster_307862891_307862894_307862896_307862898,0.8085641852991778,0.0,1.0,131.18839313239235,677.700257348126,2.371334963152185,
semaforo,1,,cluster_1520634082_307862705,,,,,,,0.0
semaforo,1,,cluster_307862891_307862894_307862896_307862898,,,,,,,0.0
semaforo,1,,cluster_3701043284_4151921021,,,,,,,0.0
semaforo,1,,cluster_4152158088_4152159489_9467311858,,,,,,,0.0
vehiculo,2,truck0,cluster_307862891_307862894_307862896_307862898,1.0216213571458985,0.0,0.0,55.49285463950702,774.2762787317567,11.436775455609737,
vehiculo,2,veh0,cluster_307862891_307862894_307862896_307862898,1.4928676579918982,0.0,1.0,127.30909027933032,678.1923966477884,3.9105650848010556,
semaforo,2,,cluster_1520634082_307862705,,,,,,,0.0
semaforo,2,,cluster_307862891_307862894_307862896_307862898,,,,,,,0.0
semaforo,2,,cluster_3701043284_4151921021,,,,,,,0.0
semaforo,2,,cluster_4152158088_4152159489_9467311858,,,,,,,0.0
vehiculo,3,truck0,cluster_307862891_307862894_307862896_307862898,0.47530657413124056,0.0,0.0,49.643338648036554,769.059820473051,7.839333121109366,
vehiculo,3,veh0,cluster_307862891_307862894_307862896_307862898,2.009355135296902,0.0,1.0,121.36765175677024,678.9461442937533,5.9893189369002355,
semaforo,3,,cluster_1520634082_307862705,,,,,,,0.0
semaforo,3,,cluster_307862891_307862894_307862896_307862898,,,,,,,0.0
semaforo,3,,cluster_3701043284_4151921021,,,,,,,0.0
semaforo,3,,cluster_4152158088_4152159489_9467311858,,,,,,,0.0
vehiculo,4,truck0,cluster_307862891_307862894_307862896_307862898,0.8451673806783289,0.0,0.0,43.83425061839819,762.7008939622275,8.633824432970568,
vehiculo,4,veh0,cluster_307862891_307862894_307862896_307862898,2.32760810809092,0.0,1.0,112.9902926192954,680.0089196982782,8.444869964197279,
semaforo,4,,cluster_1520634082_307862705,,,,,,,0.0
semaforo,4,,cluster_307862891_307862894_307862896_307862898,,,,,,,0.0
semaforo,4,,cluster_3701043284_4151921021,,,,,,,0.0
semaforo,4,,cluster_4152158088_4152159489_9467311858,,,,,,,0.0
vehiculo,5,truck0,cluster_307862891_307862894_307862896_307862898,3.0664407614957083,0.0,0.0,40.40909124651062,753.8533696163694,9.645161197011904,
vehiculo,5,veh0,cluster_307862891_307862894_307862896_307862898,2.449413849757502,0.0,1.0,102.1478337333507,680.877225615108,10.878281853790396,
semaforo,5,,cluster_1520634082_307862705,,,,,,,0.0
semaforo,5,,cluster_307862891_307862894_307862896_307862898,,,,,,,0.0
semaforo,5,,cluster_3701043284_4151921021,,,,,,,0.0
semaforo,5,,cluster_4152158088_4152159489_9467311858,,,,,,,0.0
vehiculo,6,truck0,cluster_307862891_307862894_307862896_307862898,3.682138258555501,0.0,0.0,39.68033899398525,743.370040455361,10.508311532231593,
vehiculo,6,veh0,cluster_307862891_307862894_307862896_307862898,2.5285702624325515,0.0,1.0,90.7758762734279,681.7589479628953,11.406583442240068,
semaforo,6,,cluster_1520634082_307862705,,,,,,,0.0
semaforo,6,,cluster_307862891_307862894_307862896_307862898,,,,,,,0.0
semaforo,6,,cluster_3701043284_4151921021,,,,,,,0.0
semaforo,6,,cluster_4152158088_4152159489_9467311858,,,,,,,0.0
vehiculo,7,truck0,cluster_307862891_307862894_307862896_307862898,4.264278353566555,0.0,0.0,38.98806243733326,731.9646128289362,11.425900234471621,
vehiculo,7,veh0,cluster_307862891_307862894_307862896_307862898,2.5404547953349583,0.0,1.0,78.57314476506339,682.7050842031065,12.239887078715533,
semaforo,7,,cluster_1520634082_307862705,,,,,,,0.0
