semaforo_id,delay,waiting_time,stops,flujo_vehicular,flujo_por_segundo,queue_length
308495742,23.624223467523972,7.023615635179153,1.1213355048859934,1228,6.14,6.09
308512653,24.647695640868097,2.0870488322717624,1.443736730360934,942,4.71,2.11
308512659,24.107712867233882,1.8468185388845249,1.2678711704634722,1273,6.365,2.065
308512668,22.75099474039627,1.4934445768772349,1.2407628128724673,839,4.195,1.045
308512669,27.458825240750983,1.505281690140845,1.4137323943661972,1136,5.68,2.365
308512670,27.78503346345641,2.921098366353841,1.2523461939520333,2877,14.385,4.955
308512701,12.626633719012744,0.7208333333333333,0.9520833333333333,480,2.4,0.57
joinedS_308495714_4152158087,22.058022812180706,0.7315942028985507,1.1663768115942028,1725,8.625,1.745
joinedS_308495840_308495841,26.78227208781421,0.8608912952936276,1.409829237817576,2401,12.005,2.74
